segment,state,expected_steps_PURCHASE,expected_steps_DROP
low,ADD_TO_CART,2.2794721287250637,1.6136959736734555
low,START,3.425556858147714,2.131759058745638
low,VIEW,2.7240374353501355,1.1280506871735285
medium,ADD_TO_CART,1.9990846561155893,2.052909520206039
medium,START,3.227712418300654,2.556162934226768
medium,VIEW,2.4407855619315546,1.5410908630315392
high,ADD_TO_CART,1.7358765536394052,2.1742599849145465
high,START,3.298436811977102,2.519953051643192
high,VIEW,2.3756413566145502,1.510605809739316
